Destination,Hotel_ Name,Address,Rate,Price,Image_link,Hotel_link
Cairo,(Private) Atlas International Hotels,"2, Mohamed Roushdi street,",7.1,$97.98 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F2%2F292596%2Fkv655m5wuphl2dqcbpmd&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F292596%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,(Private) New Midtown,8 Gawad Hosny Street,,$53.13 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F3%2F317542%2Fodbanzohya97t6vp29o2&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F317542%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,Victory Of Downtown Hotel,"56 Kasr Al Nile, Al Fawalah, Abdeen, Cairo Downtown, 4th Floor, Cairo",7.6,$61 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F298925073.jpg%3Fk%3D9428c982eb164e58cde27697c0e7c2ac9e80895ed8ad0966b7d02b2c4dc5b0f4%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/victory-of-downtown.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Holy Sheet Hostel,"2 Al Qadi Al Fadel 2nd floor, Abdeen, Cairo",8.8,$64 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F176082176.jpg%3Fk%3D956325bfed8fe58f8a1d5541d70bff3a91a7e75923cacee6be2a86a4fff389de%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/holy-sheet-hostel.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Up Town Hotel,"7 Tahrir Square, Down Town, Cairo",7.7,$58 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F400557965.jpg%3Fk%3D6f233641e6c5b01ea6dee10ac35660737f7b99e37d6d99c1c63f53432fede95a%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/town-gate.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,Tahrir Square Hostel,"11 Tahrir Square, Second floor, Next to KFC, Downtown, , Cairo",9.2,$64 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F215523034.jpg%3Fk%3D9553ce4c7969884322db129426f35330f20f513537d75e9062fb247c0251d096%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/tahrir-hostel.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,(Private) Tahrir Square Hostel,"11 Tahrir Square, First floor, Downtown",9.5,$50.80 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F2%2F289722%2F7.JPG&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F289722%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,Madina Hostel,"5 Kasr Al Nile street 10th floor, Cairo",9.2,$73 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fq-xx.bstatic.com%2Fxdata%2Fimages%2Fhotel%2Fmax500%2F253978598.jpg%3Fk%3D1bb887a4cd76710bb38f1a94bb2ea3c29124504f0c5321105f2716e2eb047a68%26o%3D&w=1080&q=75,https://www.stay22.com/allez/booking?aid=tripplannerai&campaign=build-itinerary~47604a60-2fa7-4235-a8aa-8ad682d9941a~date:2024-04-29&checkin=2024-06-11&checkout=2024-06-20&link=https%3A//www.booking.com/hotel/eg/madina-hostel.html%3Faid%3D1607597%26checkin%3D2024-07-28%26checkout%3D2024-07-29%26no_rooms%3D1%26group_adults%3D2%26selected_currency%3DUSD
Cairo,(Private) Madina Hostel,"5 Kasr Al Nile, Street",9.6,$90.98 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F3%2F307046%2Fprey6tfiy7wckxuy6akt&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F307046%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
Cairo,(Private) Deluxe Australian Hotel,"Abdelkhalek Tharwat Street, Downtown, Beside Radio",8.1,$53.98 ,https://tripplanner.ai/_next/image?url=https%3A%2F%2Fa.hwstatic.com%2Fimage%2Fupload%2Ff_auto%2Cq_auto%2Cw_920%2Ch_600%2Fv1%2Fpropertyimages%2F2%2F295790%2Fzk2bv0p0ep0kcxsihsz9&w=1080&q=75,https://prf.hn/click/camref:1011l3Drhh/destination:https%3A%2F%2Fwww.hostelworld.com%2Fpwa%2Fhosteldetails.php%2F295790%3Ffrom%3D2024-06-11%26to%3D2024-06-20%26currency%3DUSD
